title,iLibraryUrl,identifier,dateOfPublication
Solow or Lucas?: Testing Growth Models Using Panel Data from OECD Countries,economics/solow-or-lucas-testing-growth-models-using-panel-data-from-oecd-countries_028487061153,028487061153,2007-12-20
The Globalisation of Industry in the OECD Countries,science-and-technology/the-globalisation-of-industry-in-the-oecd-countries_426820521745,426820521745,1999-09-20
FDI in Sub-Saharan Africa,development/fdi-in-sub-saharan-africa_438286177367,438286177367,2001-03-01
L'école intelligente,education/l-ecole-intelligente_760257451115,760257451115,2001-10-01
Urban Credit Co-Operatives in China,development/urban-credit-co-operatives-in-china_711240731236,711240731236,1997-08-01
The United Kingdom's Part-Privately Funded Business Academy Bexley,education/the-united-kingdom-s-part-privately-funded-business-academy-bexley_613086010348,613086010348,2004-06-01
The International Aid System,development/the-international-aid-system_246252820650,246252820650,2005-08-01
School Construction in the United States,education/school-construction-in-the-united-states_452024265038,452024265038,1999-06-01
A Macroeconomic Model for Debt Analysis of the Latin America Region and Debt Accounting Models for the Highly Indebted Countries,economics/a-macroeconomic-model-for-debt-analysis-of-the-latin-america-region-and-debt-accounting-models-for-the-highly-indebted-countries_542222878787,542222878787,1991-02-01
Filling the Pension Gap,social-issues-migration-health/filling-the-pension-gap_227200770711,227200770711,2009-01-29
"Labour Market Institutions, Product Market Regulation, and Innovation",economics/labour-market-institutions-product-market-regulation-and-innovation_002243151077,002243151077,2002-01-16
Dragons et éléphants en Amérique latine,development/dragons-et-elephants-en-amerique-latine_245078268784,245078268784,2006-09-01
The Concentration of Women's Employment and Relative Occupational Pay,social-issues-migration-health/the-concentration-of-women-s-employment-and-relative-occupational-pay_122123571425,122123571425,1997-01-01
The Fallout from the Financial Crisis (1),development/the-fallout-from-the-financial-crisis-1_228185114075,228185114075,2008-12-01
Wikigender : un outil novateur pour alimenter le débat sur l'égalité homme-femme,development/wikigender-un-outil-novateur-pour-alimenter-le-debat-sur-l-egalite-homme-femme_228247472000,228247472000,2008-11-01
How Good is Trust?,economics/how-good-is-trust_220633873086,220633873086,2009-10-23
Is there a Case for Sophisticated Balanced-Budget Rules?,economics/is-there-a-case-for-sophisticated-balanced-budget-rules_604620771056,604620771056,2005-12-12
Is There a Change in the Trade-Off Between Output and Inflation at Low or Stable Inflation Rates?,economics/is-there-a-change-in-the-trade-off-between-output-and-inflation-at-low-or-stable-inflation-rates_685810855735,685810855735,2004-02-02
Strengthening Regulation in Chile,economics/strengthening-regulation-in-chile_831502583012,831502583012,2005-10-27
Pharmaceutical Pricing and Reimbursement Policies in Sweden,social-issues-migration-health/pharmaceutical-pricing-and-reimbursement-policies-in-sweden_135870415741,135870415741,2007-07-26
Services Barriers and their Economic Impact,trade/services-barriers-and-their-economic-impact_316888415611,316888415611,2004-10-07
OECD Economic Activity and Non-Oil Commodity Prices,economics/oecd-economic-activity-and-non-oil-commodity-prices_385873764137,385873764137,1987-06-01
"Taxation, Business Environment and FDI Location in OECD Countries",economics/taxation-business-environment-and-fdi-location-in-oecd-countries_874058477248,874058477248,2006-07-24
Améliorer la performance du marché du travail en France,economics/ameliorer-la-performance-du-marche-du-travail-en-france_878011313720,878011313720,2006-07-24
"Capital, Energy and Labour Substitution",economics/capital-energy-and-labour-substitution_117343004583,117343004583,1983-03-01
The Changing Nature of IMF Conditionality,development/the-changing-nature-of-imf-conditionality_187765075405,187765075405,1991-08-01
VoIP: Developments in the Market,science-and-technology/voip-developments-in-the-market_231766658613,231766658613,2006-01-10
International Interactions in Food and Agricultural Policies,development/international-interactions-in-food-and-agricultural-policies_460786230174,460786230174,1989-04-01
Natural Disasters and Adaptive Capacity,development/natural-disasters-and-adaptive-capacity_827805005406,827805005406,2004-08-01
Developments in Local Loop Unbundling,science-and-technology/developments-in-local-loop-unbundling_233065827862,233065827862,2003-06-02
Un bâtiment industriel reconverti en école de filles en Australie,education/un-batiment-industriel-reconverti-en-ecole-de-filles-en-australie_640462006207,640462006207,2003-10-01
Considérations du point de vue de la politique à l'égard des consommateurs sur l'importance d'avoir des données Whois exactes et disponibles,science-and-technology/considerations-du-point-de-vue-de-la-politique-a-l-egard-des-consommateurs-sur-l-importance-d-avoir-des-donnees-whois-exactes-et-disponibles_233073657740,233073657740,2003-06-02
The Long-Term Care Workforce: Overview and Strategies to Adapt Supply to a Growing Demand,social-issues-migration-health/the-long-term-care-workforce-overview-and-strategies-to-adapt-supply-to-a-growing-demand_225350638472,225350638472,2009-03-17
The Benefits of Liberalising Product Markets and Reducing Barriers to International Trade and Investment,economics/the-benefits-of-liberalising-product-markets-and-reducing-barriers-to-international-trade-and-investment_770775252885,770775252885,2005-05-26
Trade Liberalisation and Economic Performance,trade/trade-liberalisation-and-economic-performance_244284387510,244284387510,2008-02-07
Examining the Trade Effect of Certain Customs and Administrative Procedures,trade/examining-the-trade-effect-of-certain-customs-and-administrative-procedures_278266703766,278266703766,2007-01-26
The Turkish Pension System,social-issues-migration-health/the-turkish-pension-system_348880554402,348880554402,2006-12-08
L'aide au développement et les autres flux nord-sud,development/l-aide-au-developpement-et-les-autres-flux-nord-sud_424111731107,424111731107,2006-06-28
The Contribution of Information and Communication Technology to Output Growth,science-and-technology/the-contribution-of-information-and-communication-technology-to-output-growth_151634666253,151634666253,2000-03-22
"Déficits d'information dans l'élaboration, la mise en oeuvre et le suivi des politiques agricoles.",agriculture-and-food/deficits-d-information-dans-l-elaboration-la-mise-en-oeuvre-et-le-suivi-des-politiques-agricoles_066360274088,066360274088,2007-10-01
Stabilization Effects of Social Spending,economics/stabilization-effects-of-social-spending_226428280228,226428280228,2009-02-25
Pension Fund Investment from Ageing to Emerging Markets,development/pension-fund-investment-from-ageing-to-emerging-markets_167164365404,167164365404,1995-01-01
Performance Measurement and Performance Management in OECD Health Systems,social-issues-migration-health/performance-measurement-and-performance-management-in-oecd-health-systems_788224073713,788224073713,2001-01-29
Rural Industrial Development in Viet Nam and China,development/rural-industrial-development-in-viet-nam-and-china_262608643561,262608643561,1998-09-01
International Initiatives in Biotechnology for Developing Country Agriculture,development/international-initiatives-in-biotechnology-for-developing-country-agriculture_257557587410,257557587410,1994-10-01
After the WTO Hong Kong Ministerial Meeting,trade/after-the-wto-hong-kong-ministerial-meeting_853571145320,853571145320,2006-01-18
The Public Sector,economics/the-public-sector_112267035862,112267035862,1991-01-01
Saving Trends and Behaviour in OECD Countries,economics/saving-trends-and-behaviour-in-oecd-countries_006737401012,006737401012,1989-06-01
Markets for Tradeable CO2 Emission Quotas Principles and Practice,economics/markets-for-tradeable-co2-emission-quotas-principles-and-practice_555457407820,555457407820,1995-01-01
Énergie et pauvreté en Afrique,development/energie-et-pauvrete-en-afrique_010307254158,010307254158,2005-05-01
How do Taxes Affect Investment and Productivity?,economics/how-do-taxes-affect-investment-and-productivity_230022721067,230022721067,2008-12-19
The Impact of the Crisis on ICTs and their Role in the Recovery,science-and-technology/the-impact-of-the-crisis-on-icts-and-their-role-in-the-recovery_221641027714,221641027714,2009-08-17
The Incentives to Participate in and the Stability of International Climate Coalitions,economics/the-incentives-to-participate-in-and-the-stability-of-international-climate-coalitions_223552487415,223552487415,2009-06-30
"Organisation des négociations fondées sur le principe des ""Offres et requêtes"" dans le cadre de l'AGCS",trade/organisation-des-negociations-fondees-sur-le-principe-des-offres-et-requetes-dans-le-cadre-de-l-agcs_271823053082,271823053082,2005-03-04
Programme d'enseignement de base de la Turquie,education/programme-d-enseignement-de-base-de-la-turquie_853586734582,853586734582,2000-02-01
Trade Preference Erosion,trade/trade-preference-erosion_217558400455,217558400455,2005-04-26
Improving the Efficiency of Health Care Spending,economics/improving-the-efficiency-of-health-care-spending_177838636311,177838636311,2007-06-11
Les besoins en bâtiments scolaires dans la communauté flamande de Belgique,education/les-besoins-en-batiments-scolaires-dans-la-communaute-flamande-de-belgique_448682773308,448682773308,1999-06-01
Africa in 2007,development/africa-in-2007_243412886530,243412886530,2007-04-01
The Labour Market Integration of Immigrants in Germany,social-issues-migration-health/the-labour-market-integration-of-immigrants-in-germany_238411133860,238411133860,2007-02-01
Ajustement et distribution des revenus,development/ajustement-et-distribution-des-revenus_106628388818,106628388818,1989-12-01
India's Growth Pattern and Obstacles to Higher Growth,economics/india-s-growth-pattern-and-obstacles-to-higher-growth_241033544261,241033544261,2008-08-04
Background Paper for the OECD Workshop on Spam,science-and-technology/background-paper-for-the-oecd-workshop-on-spam_232784860063,232784860063,2004-01-22
"Statistics on New Enterprises, Entrepreneurs and Survival of Start-Ups",science-and-technology/statistics-on-new-enterprises-entrepreneurs-and-survival-of-start-ups_470282443084,470282443084,2002-03-06
Trade and Labour Market Adjustments,trade/trade-and-labour-market-adjustments_241811413374,241811413374,2008-03-25
